조사일,채수위치,실제단계,예측단계,prob_정상,prob_관심,prob_경계,발동_시나리오,권고조치
2024-01-15,추동,미발령,미발령,0.985,0.005,0.01,없음,정상 모니터링 유지
2024-01-15,회남,미발령,미발령,0.985,0.005,0.01,없음,정상 모니터링 유지
2024-01-16,문의,미발령,미발령,0.985,0.005,0.01,없음,정상 모니터링 유지
2024-01-16,추동,미발령,미발령,0.985,0.005,0.01,없음,정상 모니터링 유지
2024-01-16,회남,미발령,미발령,0.985,0.005,0.01,없음,정상 모니터링 유지
2024-01-17,문의,미발령,미발령,0.985,0.005,0.01,없음,정상 모니터링 유지
2024-01-17,추동,미발령,미발령,0.985,0.005,0.01,없음,정상 모니터링 유지
2024-01-17,회남,미발령,미발령,0.985,0.005,0.01,없음,정상 모니터링 유지
2024-01-18,문의,미발령,미발령,0.985,0.005,0.01,없음,정상 모니터링 유지
2024-01-18,추동,미발령,미발령,0.985,0.005,0.01,없음,정상 모니터링 유지
2024-01-18,회남,미발령,미발령,0.985,0.005,0.01,없음,정상 모니터링 유지
2024-01-19,문의,미발령,미발령,0.985,0.005,0.01,없음,정상 모니터링 유지
2024-01-19,추동,미발령,미발령,0.985,0.005,0.01,없음,정상 모니터링 유지
2024-01-19,회남,미발령,미발령,0.985,0.005,0.01,없음,정상 모니터링 유지
2024-01-20,문의,미발령,미발령,0.985,0.005,0.01,없음,정상 모니터링 유지
2024-01-20,추동,미발령,미발령,0.985,0.005,0.01,없음,정상 모니터링 유지
2024-01-20,회남,미발령,미발령,0.985,0.005,0.01,없음,정상 모니터링 유지
2024-01-21,문의,미발령,미발령,0.985,0.005,0.01,없음,정상 모니터링 유지
2024-01-21,추동,미발령,미발령,0.985,0.005,0.01,없음,정상 모니터링 유지
2024-01-21,회남,미발령,미발령,0.985,0.005,0.01,없음,정상 모니터링 유지
2024-01-22,문의,미발령,미발령,0.985,0.005,0.01,없음,정상 모니터링 유지
2024-01-22,추동,미발령,미발령,0.985,0.005,0.01,없음,정상 모니터링 유지
2024-01-22,회남,미발령,미발령,0.985,0.005,0.01,없음,정상 모니터링 유지
2024-01-23,문의,미발령,미발령,0.985,0.005,0.01,없음,정상 모니터링 유지
2024-01-23,추동,미발령,미발령,0.985,0.005,0.01,없음,정상 모니터링 유지
2024-01-23,회남,미발령,미발령,0.985,0.005,0.01,없음,정상 모니터링 유지
2024-01-24,문의,미발령,미발령,0.985,0.005,0.01,없음,정상 모니터링 유지
2024-01-24,추동,미발령,미발령,0.985,0.005,0.01,없음,정상 모니터링 유지
2024-01-24,회남,미발령,미발령,0.985,0.005,0.01,없음,정상 모니터링 유지
2024-01-25,문의,미발령,미발령,0.985,0.005,0.01,없음,정상 모니터링 유지
2024-01-25,추동,미발령,미발령,0.985,0.005,0.01,없음,정상 모니터링 유지
2024-01-25,회남,미발령,미발령,0.985,0.005,0.01,없음,정상 모니터링 유지
2024-01-26,문의,미발령,미발령,0.985,0.005,0.01,없음,정상 모니터링 유지
2024-01-26,추동,미발령,미발령,0.985,0.005,0.01,없음,정상 모니터링 유지
2024-01-26,회남,미발령,미발령,0.985,0.005,0.01,없음,정상 모니터링 유지
2024-01-27,문의,미발령,미발령,0.985,0.005,0.01,없음,정상 모니터링 유지
2024-01-27,추동,미발령,미발령,0.985,0.005,0.01,없음,정상 모니터링 유지
2024-01-27,회남,미발령,미발령,0.985,0.005,0.01,없음,정상 모니터링 유지
2024-01-28,문의,미발령,미발령,0.985,0.005,0.01,없음,정상 모니터링 유지
2024-01-28,추동,미발령,미발령,0.985,0.005,0.01,없음,정상 모니터링 유지
2024-01-28,회남,미발령,미발령,0.985,0.005,0.01,없음,정상 모니터링 유지
2024-01-29,문의,미발령,미발령,0.985,0.005,0.01,없음,정상 모니터링 유지
2024-01-29,추동,미발령,미발령,0.985,0.005,0.01,없음,정상 모니터링 유지
2024-01-29,회남,미발령,미발령,0.985,0.005,0.01,없음,정상 모니터링 유지
2024-01-30,문의,미발령,미발령,0.985,0.005,0.01,없음,정상 모니터링 유지
2024-01-30,추동,미발령,미발령,0.985,0.005,0.01,없음,정상 모니터링 유지
2024-01-30,회남,미발령,미발령,0.985,0.005,0.01,없음,정상 모니터링 유지
2024-01-31,문의,미발령,미발령,0.985,0.005,0.01,없음,정상 모니터링 유지
2024-01-31,추동,미발령,미발령,0.985,0.005,0.01,없음,정상 모니터링 유지
2024-01-31,회남,미발령,미발령,0.985,0.005,0.01,없음,정상 모니터링 유지
2024-02-01,문의,미발령,미발령,0.985,0.005,0.01,없음,정상 모니터링 유지
2024-02-01,추동,미발령,미발령,0.985,0.005,0.01,없음,정상 모니터링 유지
2024-02-01,회남,미발령,미발령,0.985,0.005,0.01,없음,정상 모니터링 유지
2024-02-02,문의,미발령,미발령,0.985,0.005,0.01,없음,정상 모니터링 유지
2024-02-02,추동,미발령,미발령,0.985,0.005,0.01,없음,정상 모니터링 유지
2024-02-02,회남,미발령,미발령,0.985,0.005,0.01,없음,정상 모니터링 유지
2024-02-03,문의,미발령,미발령,0.985,0.005,0.01,없음,정상 모니터링 유지
2024-02-03,추동,미발령,미발령,0.985,0.005,0.01,없음,정상 모니터링 유지
2024-02-03,회남,미발령,미발령,0.985,0.005,0.01,없음,정상 모니터링 유지
2024-02-04,문의,미발령,미발령,0.985,0.005,0.01,없음,정상 모니터링 유지
2024-02-04,추동,미발령,미발령,0.985,0.005,0.01,없음,정상 모니터링 유지
2024-02-04,회남,미발령,미발령,0.985,0.005,0.01,없음,정상 모니터링 유지
2024-02-05,문의,미발령,미발령,0.985,0.005,0.01,없음,정상 모니터링 유지
2024-02-05,추동,미발령,미발령,0.985,0.005,0.01,없음,정상 모니터링 유지
2024-02-05,회남,미발령,미발령,0.985,0.005,0.01,없음,정상 모니터링 유지
2024-02-06,문의,미발령,미발령,0.985,0.005,0.01,없음,정상 모니터링 유지
2024-02-06,추동,미발령,미발령,0.985,0.005,0.01,없음,정상 모니터링 유지
2024-02-06,회남,미발령,미발령,0.985,0.005,0.01,없음,정상 모니터링 유지
2024-02-07,문의,미발령,미발령,0.985,0.005,0.01,없음,정상 모니터링 유지
2024-02-07,추동,미발령,미발령,0.985,0.005,0.01,없음,정상 모니터링 유지
2024-02-07,회남,미발령,미발령,0.985,0.005,0.01,없음,정상 모니터링 유지
2024-02-08,문의,미발령,미발령,0.985,0.005,0.01,없음,정상 모니터링 유지
2024-02-08,추동,미발령,미발령,0.985,0.005,0.01,없음,정상 모니터링 유지
2024-02-08,회남,미발령,미발령,0.985,0.005,0.01,없음,정상 모니터링 유지
2024-02-09,문의,미발령,미발령,0.985,0.005,0.01,없음,정상 모니터링 유지
2024-02-09,추동,미발령,미발령,0.985,0.005,0.01,없음,정상 모니터링 유지
2024-02-09,회남,미발령,미발령,0.985,0.005,0.01,없음,정상 모니터링 유지
2024-02-10,문의,미발령,미발령,0.985,0.005,0.01,없음,정상 모니터링 유지
2024-02-10,추동,미발령,미발령,0.985,0.005,0.01,없음,정상 모니터링 유지
2024-02-10,회남,미발령,미발령,0.985,0.005,0.01,없음,정상 모니터링 유지
2024-02-11,문의,미발령,미발령,0.985,0.005,0.01,없음,정상 모니터링 유지
2024-02-11,추동,미발령,미발령,0.985,0.005,0.01,없음,정상 모니터링 유지
2024-02-11,회남,미발령,미발령,0.985,0.005,0.01,없음,정상 모니터링 유지
2024-02-12,문의,미발령,미발령,0.985,0.005,0.01,없음,정상 모니터링 유지
2024-02-12,추동,미발령,미발령,0.985,0.005,0.01,없음,정상 모니터링 유지
2024-02-12,회남,미발령,미발령,0.985,0.005,0.01,없음,정상 모니터링 유지
2024-02-13,문의,미발령,미발령,0.985,0.005,0.01,없음,정상 모니터링 유지
2024-02-13,추동,미발령,미발령,0.985,0.005,0.01,없음,정상 모니터링 유지
2024-02-13,회남,미발령,미발령,0.985,0.005,0.01,없음,정상 모니터링 유지
2024-02-14,문의,미발령,미발령,0.985,0.005,0.01,없음,정상 모니터링 유지
2024-02-14,추동,미발령,미발령,0.985,0.005,0.01,없음,정상 모니터링 유지
2024-02-14,회남,미발령,미발령,0.985,0.005,0.01,없음,정상 모니터링 유지
2024-02-15,문의,미발령,미발령,0.985,0.005,0.01,없음,정상 모니터링 유지
2024-02-15,추동,미발령,미발령,0.985,0.005,0.01,없음,정상 모니터링 유지
2024-02-15,회남,미발령,미발령,0.985,0.005,0.01,없음,정상 모니터링 유지
2024-02-16,문의,미발령,미발령,0.985,0.005,0.01,없음,정상 모니터링 유지
2024-02-16,추동,미발령,미발령,0.985,0.005,0.01,없음,정상 모니터링 유지
2024-02-16,회남,미발령,미발령,0.985,0.005,0.01,없음,정상 모니터링 유지
2024-02-17,문의,미발령,미발령,0.985,0.005,0.01,없음,정상 모니터링 유지
2024-02-17,추동,미발령,미발령,0.985,0.005,0.01,없음,정상 모니터링 유지
2024-02-17,회남,미발령,미발령,0.985,0.005,0.01,없음,정상 모니터링 유지
2024-02-18,문의,미발령,미발령,0.985,0.005,0.01,없음,정상 모니터링 유지
2024-02-18,추동,미발령,미발령,0.985,0.005,0.01,없음,정상 모니터링 유지
2024-02-18,회남,미발령,미발령,0.985,0.005,0.01,없음,정상 모니터링 유지
2024-02-19,문의,미발령,미발령,0.985,0.005,0.01,없음,정상 모니터링 유지
2024-02-19,추동,미발령,미발령,0.985,0.005,0.01,없음,정상 모니터링 유지
2024-02-19,회남,미발령,미발령,0.985,0.005,0.01,없음,정상 모니터링 유지
2024-02-20,문의,미발령,미발령,0.985,0.005,0.01,없음,정상 모니터링 유지
2024-02-20,추동,미발령,미발령,0.985,0.005,0.01,없음,정상 모니터링 유지
2024-02-20,회남,미발령,미발령,0.985,0.005,0.01,없음,정상 모니터링 유지
2024-02-21,문의,미발령,미발령,0.985,0.005,0.01,없음,정상 모니터링 유지
2024-02-21,추동,미발령,미발령,0.985,0.005,0.01,없음,정상 모니터링 유지
2024-02-21,회남,미발령,미발령,0.985,0.005,0.01,없음,정상 모니터링 유지
2024-02-22,문의,미발령,미발령,0.985,0.005,0.01,없음,정상 모니터링 유지
2024-02-22,추동,미발령,미발령,0.985,0.005,0.01,없음,정상 모니터링 유지
2024-02-22,회남,미발령,미발령,0.985,0.005,0.01,없음,정상 모니터링 유지
2024-02-23,문의,미발령,미발령,0.985,0.005,0.01,없음,정상 모니터링 유지
2024-02-23,추동,미발령,미발령,0.985,0.005,0.01,없음,정상 모니터링 유지
2024-02-23,회남,미발령,미발령,0.985,0.005,0.01,없음,정상 모니터링 유지
2024-02-24,문의,미발령,미발령,0.985,0.005,0.01,없음,정상 모니터링 유지
2024-02-24,추동,미발령,미발령,0.985,0.005,0.01,없음,정상 모니터링 유지
2024-02-24,회남,미발령,미발령,0.985,0.005,0.01,없음,정상 모니터링 유지
2024-02-25,문의,미발령,미발령,0.985,0.005,0.01,없음,정상 모니터링 유지
2024-02-25,추동,미발령,미발령,0.985,0.005,0.01,없음,정상 모니터링 유지
2024-02-25,회남,미발령,미발령,0.985,0.005,0.01,없음,정상 모니터링 유지
2024-02-26,문의,미발령,미발령,0.985,0.005,0.01,없음,정상 모니터링 유지
2024-02-26,추동,미발령,미발령,0.985,0.005,0.01,없음,정상 모니터링 유지
2024-02-26,회남,미발령,미발령,0.985,0.005,0.01,없음,정상 모니터링 유지
2024-02-27,문의,미발령,미발령,0.985,0.005,0.01,없음,정상 모니터링 유지
2024-02-27,추동,미발령,미발령,0.985,0.005,0.01,없음,정상 모니터링 유지
2024-02-27,회남,미발령,미발령,0.985,0.005,0.01,없음,정상 모니터링 유지
2024-02-28,문의,미발령,미발령,0.985,0.005,0.01,없음,정상 모니터링 유지
2024-02-28,추동,미발령,미발령,0.985,0.005,0.01,없음,정상 모니터링 유지
2024-02-28,회남,미발령,미발령,0.985,0.005,0.01,없음,정상 모니터링 유지
2024-02-29,문의,미발령,미발령,0.985,0.005,0.01,없음,정상 모니터링 유지
2024-02-29,추동,미발령,미발령,0.985,0.005,0.01,없음,정상 모니터링 유지
2024-02-29,회남,미발령,미발령,0.985,0.005,0.01,없음,정상 모니터링 유지
2024-03-01,문의,미발령,미발령,0.985,0.005,0.01,없음,정상 모니터링 유지
2024-03-01,추동,미발령,미발령,0.985,0.005,0.01,없음,정상 모니터링 유지
2024-03-01,회남,미발령,미발령,0.985,0.005,0.01,없음,정상 모니터링 유지
2024-03-02,문의,미발령,미발령,0.985,0.005,0.01,없음,정상 모니터링 유지
2024-03-02,추동,미발령,미발령,0.985,0.005,0.01,없음,정상 모니터링 유지
2024-03-02,회남,미발령,미발령,0.985,0.005,0.01,없음,정상 모니터링 유지
2024-03-03,문의,미발령,미발령,0.985,0.005,0.01,없음,정상 모니터링 유지
2024-03-03,추동,미발령,미발령,0.985,0.005,0.01,없음,정상 모니터링 유지
2024-03-03,회남,미발령,미발령,0.985,0.005,0.01,없음,정상 모니터링 유지
2024-03-04,문의,미발령,미발령,0.984,0.006,0.01,없음,정상 모니터링 유지
2024-03-04,추동,미발령,미발령,0.984,0.006,0.01,없음,정상 모니터링 유지
2024-03-04,회남,미발령,미발령,0.983,0.007,0.01,없음,정상 모니터링 유지
2024-03-05,문의,미발령,미발령,0.984,0.007,0.01,없음,정상 모니터링 유지
2024-03-05,추동,미발령,미발령,0.984,0.007,0.01,없음,정상 모니터링 유지
2024-03-05,회남,미발령,미발령,0.983,0.007,0.01,없음,정상 모니터링 유지
2024-03-06,문의,미발령,미발령,0.984,0.006,0.01,없음,정상 모니터링 유지
2024-03-06,추동,미발령,미발령,0.984,0.006,0.01,없음,정상 모니터링 유지
2024-03-06,회남,미발령,미발령,0.983,0.007,0.01,없음,정상 모니터링 유지
2024-03-07,문의,미발령,미발령,0.984,0.007,0.01,없음,정상 모니터링 유지
2024-03-07,추동,미발령,미발령,0.984,0.007,0.01,없음,정상 모니터링 유지
2024-03-07,회남,미발령,미발령,0.983,0.007,0.01,없음,정상 모니터링 유지
2024-03-08,문의,미발령,미발령,0.984,0.007,0.01,없음,정상 모니터링 유지
2024-03-08,추동,미발령,미발령,0.984,0.007,0.01,없음,정상 모니터링 유지
2024-03-08,회남,미발령,미발령,0.983,0.007,0.01,없음,정상 모니터링 유지
2024-03-09,문의,미발령,미발령,0.984,0.006,0.01,없음,정상 모니터링 유지
2024-03-09,추동,미발령,미발령,0.984,0.006,0.01,없음,정상 모니터링 유지
2024-03-09,회남,미발령,미발령,0.983,0.007,0.01,없음,정상 모니터링 유지
2024-03-10,문의,미발령,미발령,0.984,0.006,0.01,없음,정상 모니터링 유지
2024-03-10,추동,미발령,미발령,0.984,0.006,0.01,없음,정상 모니터링 유지
2024-03-10,회남,미발령,미발령,0.984,0.007,0.01,없음,정상 모니터링 유지
2024-03-11,문의,미발령,미발령,0.984,0.006,0.01,없음,정상 모니터링 유지
2024-03-11,추동,미발령,미발령,0.984,0.006,0.01,없음,정상 모니터링 유지
2024-03-11,회남,미발령,미발령,0.984,0.007,0.01,없음,정상 모니터링 유지
2024-03-12,문의,미발령,미발령,0.983,0.007,0.01,없음,정상 모니터링 유지
2024-03-12,추동,미발령,미발령,0.983,0.007,0.01,없음,정상 모니터링 유지
2024-03-12,회남,미발령,미발령,0.983,0.007,0.01,없음,정상 모니터링 유지
2024-03-13,문의,미발령,미발령,0.983,0.007,0.01,없음,정상 모니터링 유지
2024-03-13,추동,미발령,미발령,0.983,0.007,0.01,없음,정상 모니터링 유지
2024-03-13,회남,미발령,미발령,0.983,0.007,0.01,없음,정상 모니터링 유지
2024-03-14,문의,미발령,미발령,0.983,0.007,0.01,없음,정상 모니터링 유지
2024-03-14,추동,미발령,미발령,0.983,0.007,0.01,없음,정상 모니터링 유지
2024-03-14,회남,미발령,미발령,0.983,0.007,0.01,없음,정상 모니터링 유지
2024-03-15,문의,미발령,미발령,0.983,0.007,0.01,없음,정상 모니터링 유지
2024-03-15,추동,미발령,미발령,0.983,0.007,0.01,없음,정상 모니터링 유지
2024-03-15,회남,미발령,미발령,0.983,0.007,0.01,없음,정상 모니터링 유지
2024-03-16,문의,미발령,미발령,0.983,0.007,0.01,없음,정상 모니터링 유지
2024-03-16,추동,미발령,미발령,0.983,0.007,0.01,없음,정상 모니터링 유지
2024-03-16,회남,미발령,미발령,0.983,0.007,0.01,없음,정상 모니터링 유지
2024-03-17,문의,미발령,미발령,0.984,0.006,0.01,없음,정상 모니터링 유지
2024-03-17,추동,미발령,미발령,0.984,0.006,0.01,없음,정상 모니터링 유지
2024-03-17,회남,미발령,미발령,0.984,0.006,0.01,없음,정상 모니터링 유지
2024-03-18,문의,미발령,미발령,0.984,0.006,0.01,없음,정상 모니터링 유지
2024-03-18,추동,미발령,미발령,0.984,0.006,0.01,없음,정상 모니터링 유지
2024-03-18,회남,미발령,미발령,0.984,0.006,0.01,없음,정상 모니터링 유지
2024-03-19,문의,미발령,미발령,0.984,0.006,0.01,없음,정상 모니터링 유지
2024-03-19,추동,미발령,미발령,0.984,0.006,0.01,없음,정상 모니터링 유지
2024-03-19,회남,미발령,미발령,0.984,0.006,0.01,없음,정상 모니터링 유지
2024-03-20,문의,미발령,미발령,0.983,0.006,0.01,없음,정상 모니터링 유지
2024-03-20,추동,미발령,미발령,0.983,0.006,0.01,없음,정상 모니터링 유지
2024-03-20,회남,미발령,미발령,0.983,0.007,0.01,없음,정상 모니터링 유지
2024-03-21,문의,미발령,미발령,0.985,0.005,0.01,없음,정상 모니터링 유지
2024-03-21,추동,미발령,미발령,0.985,0.005,0.01,없음,정상 모니터링 유지
2024-03-21,회남,미발령,미발령,0.985,0.005,0.01,없음,정상 모니터링 유지
2024-03-22,문의,미발령,미발령,0.985,0.005,0.01,없음,정상 모니터링 유지
2024-03-22,추동,미발령,미발령,0.985,0.005,0.01,없음,정상 모니터링 유지
2024-03-22,회남,미발령,미발령,0.985,0.005,0.01,없음,정상 모니터링 유지
2024-03-23,문의,미발령,미발령,0.985,0.005,0.01,없음,정상 모니터링 유지
2024-03-23,추동,미발령,미발령,0.985,0.005,0.01,없음,정상 모니터링 유지
2024-03-23,회남,미발령,미발령,0.985,0.005,0.01,없음,정상 모니터링 유지
2024-03-24,문의,미발령,미발령,0.985,0.005,0.01,없음,정상 모니터링 유지
2024-03-24,추동,미발령,미발령,0.985,0.005,0.01,없음,정상 모니터링 유지
2024-03-24,회남,미발령,미발령,0.985,0.005,0.01,없음,정상 모니터링 유지
2024-03-25,문의,미발령,미발령,0.985,0.005,0.01,없음,정상 모니터링 유지
2024-03-25,추동,미발령,미발령,0.985,0.005,0.01,없음,정상 모니터링 유지
2024-03-25,회남,미발령,미발령,0.985,0.005,0.01,없음,정상 모니터링 유지
2024-03-26,문의,미발령,미발령,0.985,0.005,0.01,없음,정상 모니터링 유지
2024-03-26,추동,미발령,미발령,0.985,0.005,0.01,없음,정상 모니터링 유지
2024-03-26,회남,미발령,미발령,0.985,0.005,0.01,없음,정상 모니터링 유지
2024-03-27,문의,미발령,미발령,0.985,0.005,0.01,없음,정상 모니터링 유지
2024-03-27,추동,미발령,미발령,0.985,0.005,0.01,없음,정상 모니터링 유지
2024-03-27,회남,미발령,미발령,0.985,0.005,0.01,없음,정상 모니터링 유지
2024-03-28,문의,미발령,미발령,0.985,0.005,0.01,없음,정상 모니터링 유지
2024-03-28,추동,미발령,미발령,0.985,0.005,0.01,없음,정상 모니터링 유지
2024-03-28,회남,미발령,미발령,0.985,0.006,0.01,없음,정상 모니터링 유지
2024-03-29,문의,미발령,미발령,0.985,0.005,0.01,없음,정상 모니터링 유지
2024-03-29,추동,미발령,미발령,0.985,0.005,0.01,없음,정상 모니터링 유지
2024-03-29,회남,미발령,미발령,0.985,0.005,0.01,없음,정상 모니터링 유지
2024-03-30,문의,미발령,미발령,0.985,0.005,0.01,없음,정상 모니터링 유지
2024-03-30,추동,미발령,미발령,0.985,0.005,0.01,없음,정상 모니터링 유지
2024-03-30,회남,미발령,미발령,0.985,0.005,0.01,없음,정상 모니터링 유지
2024-03-31,문의,미발령,미발령,0.985,0.005,0.01,없음,정상 모니터링 유지
2024-03-31,추동,미발령,미발령,0.985,0.005,0.01,없음,정상 모니터링 유지
2024-03-31,회남,미발령,미발령,0.985,0.005,0.01,없음,정상 모니터링 유지
2024-04-01,문의,미발령,미발령,0.985,0.005,0.01,없음,정상 모니터링 유지
2024-04-01,추동,미발령,미발령,0.985,0.005,0.01,없음,정상 모니터링 유지
2024-04-01,회남,미발령,미발령,0.985,0.005,0.01,없음,정상 모니터링 유지
2024-04-02,문의,미발령,미발령,0.985,0.005,0.01,없음,정상 모니터링 유지
2024-04-02,추동,미발령,미발령,0.985,0.005,0.01,없음,정상 모니터링 유지
2024-04-02,회남,미발령,미발령,0.985,0.005,0.01,없음,정상 모니터링 유지
2024-04-03,문의,미발령,미발령,0.985,0.005,0.01,없음,정상 모니터링 유지
2024-04-03,추동,미발령,미발령,0.985,0.005,0.01,없음,정상 모니터링 유지
2024-04-03,회남,미발령,미발령,0.985,0.005,0.01,없음,정상 모니터링 유지
2024-04-04,문의,미발령,미발령,0.985,0.005,0.01,없음,정상 모니터링 유지
2024-04-04,추동,미발령,미발령,0.985,0.005,0.01,없음,정상 모니터링 유지
2024-04-04,회남,미발령,미발령,0.985,0.006,0.01,없음,정상 모니터링 유지
2024-04-05,문의,미발령,미발령,0.984,0.006,0.01,없음,정상 모니터링 유지
2024-04-05,추동,미발령,미발령,0.983,0.007,0.01,없음,정상 모니터링 유지
2024-04-05,회남,미발령,미발령,0.983,0.007,0.01,없음,정상 모니터링 유지
2024-04-06,문의,미발령,미발령,0.982,0.007,0.011,없음,정상 모니터링 유지
2024-04-06,추동,미발령,미발령,0.98,0.009,0.011,없음,정상 모니터링 유지
2024-04-06,회남,미발령,미발령,0.981,0.008,0.011,없음,정상 모니터링 유지
2024-04-07,문의,미발령,미발령,0.984,0.006,0.01,없음,정상 모니터링 유지
2024-04-07,추동,미발령,미발령,0.981,0.009,0.01,없음,정상 모니터링 유지
2024-04-07,회남,미발령,미발령,0.983,0.007,0.01,없음,정상 모니터링 유지
2024-04-08,문의,미발령,미발령,0.984,0.006,0.01,없음,정상 모니터링 유지
2024-04-08,추동,미발령,미발령,0.981,0.008,0.01,없음,정상 모니터링 유지
2024-04-08,회남,미발령,미발령,0.983,0.006,0.01,없음,정상 모니터링 유지
2024-04-09,문의,미발령,미발령,0.982,0.007,0.011,없음,정상 모니터링 유지
2024-04-09,추동,미발령,미발령,0.977,0.012,0.011,없음,정상 모니터링 유지
2024-04-09,회남,미발령,미발령,0.98,0.008,0.011,없음,정상 모니터링 유지
2024-04-10,문의,미발령,미발령,0.983,0.006,0.011,없음,정상 모니터링 유지
2024-04-10,추동,미발령,미발령,0.981,0.008,0.011,없음,정상 모니터링 유지
2024-04-10,회남,미발령,미발령,0.982,0.007,0.011,없음,정상 모니터링 유지
2024-04-11,문의,미발령,미발령,0.983,0.006,0.011,없음,정상 모니터링 유지
2024-04-11,추동,미발령,미발령,0.98,0.009,0.011,없음,정상 모니터링 유지
2024-04-11,회남,미발령,미발령,0.982,0.007,0.011,없음,정상 모니터링 유지
2024-04-12,문의,미발령,미발령,0.984,0.006,0.01,없음,정상 모니터링 유지
2024-04-12,추동,미발령,미발령,0.983,0.007,0.01,없음,정상 모니터링 유지
2024-04-12,회남,미발령,미발령,0.983,0.007,0.01,없음,정상 모니터링 유지
2024-04-13,문의,미발령,미발령,0.984,0.006,0.01,없음,정상 모니터링 유지
2024-04-13,추동,미발령,미발령,0.984,0.006,0.01,없음,정상 모니터링 유지
2024-04-13,회남,미발령,미발령,0.983,0.007,0.01,없음,정상 모니터링 유지
2024-04-14,문의,미발령,미발령,0.984,0.006,0.01,없음,정상 모니터링 유지
2024-04-14,추동,미발령,미발령,0.984,0.006,0.01,없음,정상 모니터링 유지
2024-04-14,회남,미발령,미발령,0.984,0.006,0.01,없음,정상 모니터링 유지
